Code,Name,Category
001,Inky Point,
002,Earth Day,
003,Blue Violet,Blue
004,Pink Lemonade,Pink
005,Neon Pink,Pink
006,Deep Pink,Pink
007,Canadian Maple,
008,NY Islanders,
010,Dutch Orange,Orange
011,Pink Birthday,Pink
012,Peacock Pink,Pink
013,Brilliant Pink,Pink
014,Tulip Pink,Pink
015,Pink Daisy,Pink
016,Darken Rose,Pink
017,Pink Bubble Gum,Pink
018,Violet Pink,Pink
019,Ultra Marine,Blue
020,Rebecca Purple,Purple
021,Amethyst,Purple
022,Magenta Rose,Pink
023,Blossom Orchid,Purple
024,Purple Flower,Purple
025,Aztech Purple,Purple
026,Crocus Lavender,Purple
027,Pittsburgh Blue,Blue
028,Copen Blue,Blue
029,Blue Tint,Blue
030,Aqua Blue,Blue
031,Milky Blue,Blue
032,Carribean Island,Blue
033,Nile Green,Green
034,Mint Green,Green
035,Lucky Jade,Green
036,Dublin Green,Green
073,Dusty Coral,Orange
074,Naked Tan,Nude
099,Carnation Pink,Pink
099,Bayberry,
150,Beige Pink,Pink
171,Maroon,Red
257,Mermaid Blue,Blue
270,Lily Garden,
419,Havin' Cobbler,
423,Glitter for you,
440,Papaya Whip,Orange
441,Clear pink,Pink
446,Wood Lade,
447,Black Licorice,Black
458,Fresh Eggplant,Purple
473,French Tip White,White
478,Spiced Berry,
479,Queen of Grape,Purple
483,Pink Angel,Pink
490,Redwood City,Red
492,Lavender Prophet,Purple
510,Peach Cider,Orange
511,Nude Sparkle,Nude
514,Soaring Sky,
523,Rainbow Day,
524,Green to Green,Green
526,Sea by Night,
528,Blue Island IL,Blue
561,Strawberry Kiss,Pink
564,Butterfly World FL,
567,Grand Canyon AZ,
571,Blue Ash OH,Blue
585,Lotus,
