ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Sync with Square,Meta: _wds_focus-keywords,Meta: _et_pb_post_hide_nav,Meta: _et_pb_page_layout,Meta: _et_pb_side_nav,Meta: _et_pb_use_builder,Meta: _et_pb_first_image,Meta: _et_pb_truncate_post,Meta: _et_pb_truncate_post_date,Meta: _et_pb_old_content,Meta: _wds_trimmed_excerpt
,simple,858131Z,,12 cookie pops,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,25.00,Doughlirium,,,,,,,,,,,,,,YES,,,,,,,,,,
,simple,194492Z,,12 pk cookies,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,15.00,Doughlirium,,,,,,,,,,,,,,YES,,,,,,,,,,
,simple,6493843,,12 pk decorated sugar cookies,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,60.00,Doughlirium,,,,,,,,,,,,,,YES,,,,,,,,,,
,simple,4741613,,12 pk specialty cookies,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,20.00,Doughlirium,,,,,,,,,,,,,,YES,,,,,,,,,,
,simple,1777791,,3/$20 sponges,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,20.00,SpongeCraft,,,,,,,,,,,,,,YES,,,,,,,,,,
,simple,X399234,,6 pk cookie pops,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,12.50,Doughlirium,,,,,,,,,,,,,,YES,,,,,,,,,,
,simple,X040340,,6 pk cookies,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,8.00,Doughlirium,,,,,,,,,,,,,,YES,,,,,,,,,,
,simple,928926H,,6 pk specialty cookies,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,10.00,Doughlirium,,,,,,,,,,,,,,YES,,,,,,,,,,
,simple,5560077,,6pk Decorated Sugar cookie,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,30.00,Doughlirium,,,,,,,,,,,,,,YES,,,,,,,,,,
,simple,981326S,,Blood splatter character ws,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,4.00,SpongeCraft,,,,,,,,,,,,,,YES,,,,,,,,,,
,simple,2656556,,Frankenstein ws,1,0,visible,,,,,taxable,,1,15,,0,0,,,,,1,,,4.00,SpongeCraft,,,,,,,,,,,,,,YES,,,,,,,,,,
,simple,5614024,,Honey bread,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,8.00,Doughlirium,,,,,,,,,,,,,,YES,,,,,,,,,,
,simple,5748375,,Jason ws,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,4.00,SpongeCraft,,,,,,,,,,,,,,YES,,,,,,,,,,
,simple,G835416,,Pink characters ws,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,4.00,SpongeCraft,,,,,,,,,,,,,,YES,,,,,,,,,,
,simple,A539142,,Shipping,1,0,visible,,,,,taxable,,1,0,,0,0,,,,,1,,,33.04,Uncategorized,,,,,,,,,,,,,,YES,,,,,,,,,,
,simple,3024104,,SpongeCraft,1,0,visible,,St pattys day theme,,,taxable,,1,,,0,0,,,,,1,,,8.00,SpongeCraft,,,,,,,,,,,,,,YES,,,,,,,,,,
,simple,4592711,,Zombie heart ws,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,4.00,SpongeCraft,,,,,,,,,,,,,,YES,,,,,,,,,,
