Domain,Forwarding,Status,Category,Priority,Nameserver,Development_Notes
contractorinsuranceinfo.com,Add Forwarding,Not Active,Contractor Insurance,Medium,ns1.wpdns.host,General contractor insurance information site
contractorlicense.biz,Add Forwarding,Not Active,Educational/Informational,Low,ns1.wpdns.host,Information on contractor licensing requirements
contractorlicense.pro,Add Forwarding,Not Active,Educational/Informational,Low,ns1.wpdns.host,Professional resource for contractor licensing
insinfographics.com,Add Forwarding,Not Active,Educational/Informational,Low,ns1.wpdns.host,Insurance infographics and visual resources
insuranceauctioneers.com,Add Forwarding,Not Active,Specialty Insurance,Medium,ns1.wpdns.host,Insurance products for auctioneers and auction houses
insuranceinfographics.com,Add Forwarding,Not Active,Educational/Informational,Low,ns1.wpdns.host,Comprehensive insurance infographics resource site
insurancekiosks.com,Add Forwarding,Not Active,Specialty Insurance,Low,ns1.wpdns.host,Information about insurance kiosk options and services
phxinsagency.com,Add Forwarding,Not Active,Regional/Location-based,Medium,ns1.wpdns.host,Phoenix-based insurance agency site
pipelinerjobs.com,Add Forwarding,Not Active,Specialty Insurance,Low,ns1.wpdns.host,Insurance for pipeline workers and related jobs
puroseguro.com,Add Forwarding,Not Active,Spanish Language,High,ns1.wpdns.host,Spanish language insurance services site
rigsoffroad.com,Add Forwarding,Not Active,Specialty Insurance,Medium,ns1.wpdns.host,Insurance for off-road vehicles and equipment
solocontratistas.com,Add Forwarding,Not Active,Spanish Language,High,ns1.wpdns.host,Spanish language site for contractor insurance
suretybonds4contractors.com,Add Forwarding,Not Active,Contractor Insurance,High,ns1.wpdns.host,Specialized site for contractor surety bonds
commercialremodelinginsurance.com,-,Not Active,Contractor Insurance,High,ns1.wpdns.host,Insurance for commercial remodeling contractors
contractorinsuranceschool.com,-,Not Active,Educational/Informational,Medium,ns1.wpdns.host,Educational resources for contractor insurance requirements
debrisremovalinsurance.com,-,Not Active,Specialty Insurance,Medium,ns1.wpdns.host,Insurance for debris removal contractors and services
insuranceendorsements.com,-,Not Active,Educational/Informational,Low,ns1.wpdns.host,Information about insurance endorsements and additional coverages
residentialremodelinginsurance.com,-,Not Active,Contractor Insurance,High,ns1.wpdns.host,Insurance for residential remodeling contractors
thecontractorschoiceagency.com,https://contractorschoiceagency.com,Forwarded,Contractor Insurance,High,ns1.domaincontrol.com,Main agency website - already live
unmannedaircraftsystemsinsurance.com,-,Not Active,Specialty Insurance,Medium,ns1.wpdns.host,Insurance for drone operators and UAV systems
arizonaenergyauditor.com,-,Not Active,Regional/Location-based,Medium,ns1.wpdns.host,Arizona-focused energy auditor insurance and resources
azenergyauditor.com,-,Not Active,Regional/Location-based,Medium,ns1.wpdns.host,Short version of Arizona energy auditor site
barndobonds.com,https://barndomiuminsurance.com,Forwarded,Specialty Insurance,Medium,ns5.domaincontrol.com,Specialized insurance for barndominiums and similar structures
bestdamnrooferinsurance.com,-,Not Active,Contractor Insurance,High,ns1.wpdns.host,Marketing-focused site for roofer insurance products
celluloseinsulationremoval.com,-,Not Active,Specialty Insurance,Low,ns1.wpdns.host,Insurance for cellulose insulation removal contractors
fiberglassinsulationremoval.com,-,Not Active,Specialty Insurance,Low,ns1.wpdns.host,Insurance for fiberglass insulation removal contractors
offratiopodcast.com,-,Not Active,Educational/Informational,Low,ns1.wpdns.host,Insurance industry podcast site
on-chaininsurance.com,-,Not Active,Specialty Insurance,Medium,ns1.wpdns.host,Blockchain/crypto insurance products and resources
roofmetaverse.com,-,Not Active,Educational/Informational,Low,ns1.wpdns.host,Metaverse-focused roofing industry site
sprayfoaminstitute.com,-,Not Active,Educational/Informational,Medium,ns1.wpdns.host,Educational resources for spray foam contractors
sprayfoamlicense.com,-,Not Active,Educational/Informational,Medium,ns1.wpdns.host,Licensing information for spray foam contractors
sprayfoamrooferarizona.com,-,Not Active,Regional/Location-based,High,ns1.wpdns.host,Arizona-focused spray foam roofing services
sprayfoamrooferphoenix.com,-,Not Active,Regional/Location-based,High,ns1.wpdns.host,Phoenix-focused spray foam roofing services
vegassprayfoam.com,-,Not Active,Regional/Location-based,High,ns1.wpdns.host,Las Vegas-focused spray foam services
wrapinstallerinsurance.com,-,Not Active,Specialty Insurance,Medium,ns1.wpdns.host,Insurance for vehicle wrap installation businesses
hotshottrucrersinsurance.com,https://hotshotttruckersinsurance.com,Forwarded,Specialty Insurance,Medium,ns11.domaincontrol.com,Insurance for hot shot truckers and services
traminginsurance.com,https://traminginsurance.com,Forwarded,Specialty Insurance,Medium,ns13.domaincontrol.com,Insurance for training services and education
sprayfoaminsurance.com,https://sprayfoaminsurance.com,Forwarded,Specialty Insurance,High,ns17.domaincontrol.com,Insurance for spray foam industry professionals
sedonainsurance.com,https://sedonainsurance.com,Forwarded,Regional/Location-based,Medium,ns23.domaincontrol.com,Sedona Arizona focused insurance services
sunlakesinsurance.com,https://sunlakesinsurance.com,Forwarded,Regional/Location-based,Medium,ns23.domaincontrol.com,Sun Lakes Arizona focused insurance services
tellurideinsurance.co,https://tellurideinsurance.co,Forwarded,Regional/Location-based,Medium,ns7.domaincontrol.com,Telluride Colorado focused insurance services
solarcontractorsinsurance.com,https://solarcontractorsinsurance.com,Forwarded,Contractor Insurance,High,ns39.domaincontrol.com,Insurance for solar installation contractors
coatingsinsurance.com,https://www.coatingsinsurance.com,Forwarded,Specialty Insurance,Medium,ns29.domaincontrol.com,Insurance for coatings contractors and businesses
virtualinsuranceagent.io,https://virtualinsuranceagent.io,Forwarded,Educational/Informational,Medium,ns41.domaincontrol.com,Virtual insurance agent services and tools
wakeboatinsurance.com,https://wakeboatinsurance.com,Forwarded,Specialty Insurance,Medium,ns47.domaincontrol.com,Insurance for wake boats and related vessels
glamisinsurance.com,https://glamisinsurance.com,Forwarded,Regional/Location-based,Medium,ns7.domaincontrol.com,Glamis California focused insurance services
roofinginsurance.com,https://roofinginsurance.com,Forwarded,Contractor Insurance,High,ns13.domaincontrol.com,Insurance for roofing contractors
